mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lbp_patches__n_points,param_lbp_patches__patch_size,param_lbp_patches__radius,param_lbp_patches__step,param_ocsvm__gamma,param_ocsvm__nu,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
129.55809783935547,25.77101159095764,56.96663165092468,8.686093091964722,8,"(32, 32)",2,8,0.2,0.1,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 2, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.1}",-1110.6571155539273,-1141.4853644401524,-1126.0712399970398,15.414124443112541,5
145.83116030693054,2.0301761627197266,73.04912972450256,1.2916147708892822,8,"(32, 32)",2,8,0.2,0.15,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 2, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.15}",-4677.196577018991,-4800.851450980369,-4739.02401399968,61.82743698068907,16
212.94337403774261,44.82876265048981,96.0521252155304,8.325340032577515,8,"(32, 32)",2,8,0.2,0.2,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 2, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.2}",-13299.501891993576,-13652.365744962037,-13475.933818477806,176.43192648423064,28
91.76195788383484,0.02065730094909668,51.98841941356659,1.2682996988296509,8,"(32, 32)",3,8,0.1,0.1,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.1, 'ocsvm__nu': 0.1}",-23978.397400032154,-21952.014331810755,-22965.205865921453,1013.1915341106996,36
131.4343180656433,0.35947394371032715,66.94692742824554,2.264492630958557,8,"(32, 32)",3,8,0.1,0.15,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.1, 'ocsvm__nu': 0.15}",-82740.79391805544,-76297.53057742641,-79519.16224774093,3221.631670314513,46
199.30892431735992,20.836816668510437,90.65826117992401,0.5522249937057495,8,"(32, 32)",3,8,0.1,0.2,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.1, 'ocsvm__nu': 0.2}",-205553.8870170779,-191561.58043932234,-198557.73372820014,6996.153288877787,52
127.14955711364746,34.47285175323486,57.05400621891022,7.9287577867507935,8,"(32, 32)",3,8,0.15,0.1,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.15, 'ocsvm__nu': 0.1}",-5568.268694529759,-5051.739729883061,-5310.00421220641,258.26448232334906,18
149.27723813056946,3.124886989593506,67.11466038227081,0.3748577833175659,8,"(32, 32)",3,8,0.15,0.15,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.15, 'ocsvm__nu': 0.15}",-21364.946913243475,-19647.1300844402,-20506.038498841837,858.9084144016379,35
228.41073048114777,33.255375027656555,103.83418607711792,6.309280633926392,8,"(32, 32)",3,8,0.15,0.2,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.15, 'ocsvm__nu': 0.2}",-57588.2669875908,-53942.00998763241,-55765.138487611606,1823.128499979197,44
126.39469516277313,15.76942503452301,53.3070205450058,7.3773921728134155,8,"(32, 32)",3,8,0.2,0.1,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.1}",-1391.3894149565742,-1255.6687320920596,-1323.529073524317,67.86034143225731,9
